Provider Org. ,Unique ID
Germany RC,XM-DAC-21016-2019-ASIA-PK
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-105000-422566-2015-PAK107
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-105000-422566-2016-PAK107
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-105517-1107-2016-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-105517-1107-2017-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-105644-422566-2016-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-106174-1107-2017-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-106174-1107-2018-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-106174-1107-2019-PAK176
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-106465-422566-2019-PAK226
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41302-106719-422566-2019-PAK226
"Germany, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) ",XM-DAC-41302-106465-422566-2018-PAK226
"Germany, Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) ",XM-DAC-41302-106719-422566-2018-PAK226
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-OCHA-CBPF-ERF/3474/7012/11978/2020
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-OCHA-CBPF-ERF/3474/7082/12078/2020
Germany - Ministry for Economic Cooperation and Development [DE-1],XI-IATI-UNPF-XM-OCHA-CERF
"GERMANY, Government of",XI-IATI-UNPF-XM-OCHA-CERF
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41114-OUTPUT-00084531
Germany [GER],XM-DAC-41140-PK01.01.023.CSI1
Germany [GER],XM-DAC-41140-PK01.04.041.CAR1
Germany [GER],XM-DAC-41140-PK01-DSC
Germany ,XM-DAC-928-PK-2018-19-01.006.EM01.PAK01
Germany ,XM-DAC-928-PK-2018-19-01.006.EM01.PAK02
Germany ,XM-DAC-928-PK-2018-19-02.001.EM01.PAK03
Germany ,XM-DAC-928-PK-2018-19-02.001.EM01.PAK04
Germany ,XM-DAC-928-PK-2018-19-02.002.EM01.PAK01
Germany ,XM-DAC-928-PK-2018-19-02.002.EM01.PAK02
Germany ,XM-DAC-928-PK-2018-19-02.002.EM01.PAK03
Germany ,XM-DAC-928-PK-2018-19-02.005.EM01.PAK01
Germany ,XM-DAC-928-PK-2018-19-02.005.EM01.PAK02
Germany ,XM-DAC-928-PK-2018-19-03.001.EM01.PAK01
Germany ,XM-DAC-928-PK-2018-19-03.001.EM01.PAK02
Germany ,XM-DAC-928-PK-2018-19-03.001.EM01.PAK03
Germany ,XM-DAC-928-PK-2018-19-03.006.EM01.PAK02
Germany ,XM-DAC-928-PK-2018-19-04.004.EM01.PAK01
Germany ,XM-DAC-928-PK-2018-19-04.004.EM01.PAK03
Germany ,XM-DAC-928-PK-2020-21-01.001.EM01.PAK01
Germany ,XM-DAC-928-PK-2020-21-01.001.EM01.PAK05
Germany ,XM-DAC-928-PK-2020-21-01.002.EM01.PAK01
Germany ,XM-DAC-928-PK-2020-21-03.002.EM01.PAK01
Germany ,XM-DAC-928-PK-2020-21-04.002.EM01.PAK01
Germany ,XM-DAC-928-PK-2020-21-10.001.EM01.PAK01
Germany ,XM-DAC-928-PK-2020-21-13.003.EM01.PAK02
"KfW Entwicklungsbank, Germany ",XM-DAC-928-PK-2018-19-10.001.EM01.PAK01
"KfW Entwicklungsbank, Germany ",XM-DAC-928-PK-2020-21-10.001.EM01.PAK01
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",XM-DAC-21016-2017-ASIA-PK
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",XM-DAC-21016-2020-ASIA-PK
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",DK-CVR-26487013-SPAA
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",NL-KVK-27108436-A-04101-02:PK
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",NL-KVK-27108436-A-04101-03:PK
"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",NL-KVK-27108436-A-04101-04:PK
