Piped Water Communal Water,Household Electricity,Sanitation Services,Public Transport Ridesharing,Time- and energy-saving equipment and technologies (TESET),Public healthcare services,Early Childhood Education (ECE),Care Services for Older People,Care Services for those with Additional Needs,Public Pensions,Cash Transfers Related to Care,School Meals or Vouchers,Care-sensitive Public Works,Paid Sick Leave,Equal Paid Parental Leave,Flexible Working,Onsite Childcare,Breastfeeding at work,Standards prohibiting gender stereotypes in advertising and media representations,Measurement frameworks,Time-use data collection,General Unspecified
Piped water,Household electricity,Sanitation services, Transport ,Grinding mill,Universal healthcare,Childcare,Elderly ,Long term care,Pension,Cash benefit,School meal,Public works,Paid sick leave,Parental leave,Flexible work,Childcare,Breastfeeding,Gender stereotype,Advertising campaigns,Care Measurement,Care work value
Piped,Access to electricity ,Sanitation facilities, Transportation ,Grindings mills,Universal health,Child care,Older people ,Long-term care,Pension,Cash benefits,School meals,Public works programmes ,Sick leave,Universal leave,Flexible hour,Child care ,Breastfeed,Gender stereotypes,Campagnes publicitaires,Care Framework   ,Unpaid care
Pipeline,Access electricity ,Latrines, Bus ,Cookstove,Universal care  ,Daycare,Elder care,In home care,Pensions,Cash transfer programme,Breakfast,Public works programme,Paid leave,Equal leave,Flexible hours,Daycare,Storing milk ,Gender norm,Werbekampagnen,Time-use,Unpaid work 
Water well,Electricity access ,Toilets, Bus ,Cookstoves,Public healthcare,Day care,Eldercare,In-home care,Pensions,Cash transfer programmes,Lunch,Public works program,Paid time off,Maternity leave,Flexible schedule,Day care,Allaitement,Gender norms,Campañas publicitarias,Time use,Redistribution of care work
water wells,Electrical services ,Rubbish, Buses ,Cooking,Healthcare policy,Creche ,Âgé ,Live in care,Public pension,Cash transfer program,Feeding,Public works program,Care leave,Paternal leave,Flexible schedules,Garde d’enfants,Allaiter,Social Norm,,Value of unpaid care,Domestic work
Communal water,Solar home systems ,Garbage, Train ,Cook,Healthcare policies,Nursery ,Personnes âgées ,residential care,Public pensions,Cash transfer programs,Food voucher,Public works project,Family leave,Paternity leave,Flexible location,Aide à l’enfance ,Entreposage du lait ,Social Norms,,Value of care work,Chore
Community water ,Électricité domestique,Garbage, Trains ,Stove,Healthcare service,Nurseries ,Soins aux aînés,Disability,Pension scheme,Cash transfer,Food vouchers,Public works projects,Congés de maladie payés,Congé parental,Flexible locations,Garderie,Stillen,Stereotype,,Mesure des soins,Chores
Household water ,Accès à l’électricité ,Trash, Tram ,Stoves,Healthcare services,Preschool,Soins aux aînés,Disability,Pension schemes,Cash transfers,Repas scolaire,PWP,Congé de maladie,Congé universel,Part time,Garderie,Säugen,Child marriage,,Cadre de soins ,Care provider
Water access ,Accès à l’électricité ,Waste,Rideshare  ,Washing equipment,Soins de santé universels ,Pre school,Ältlich ,Disabilities,Public pension scheme,CT,Repas scolaires,PWPs  ,Congés payés,Congé égal,Parttime,Kinderbetreuung,Milch lagern ,Stereotypes,,Emploi du temps,Care providers
Access to water ,Accès à l’électricité ,Wastewater , Rideshares ,Washing machines,Santé universelle ,Pre-school,Ältere Menschen ,Disabled,Public pension schemes,Tax credit,Petit déjeuner,Travaux publics,Congés payés,Congé de maternité,Part-time,Kinderbetreuung ,Lactancia,Media representation,,Emploi du temps,Household task
Access to basic water ,Services électriques ,Waste water, Ride share ,Washing machine,Soins universels ,Pre-school,Altenpflege,Handicapped,Social pension,Tax credits  ,Déjeuner,Programmes de travaux publics ,Congé de soins,Congé paternel,Travail flexible,Kindertagesstätte,Amamantar,Media representations  ,,Valeur des soins non rémunérés,Household tasks
Access to clean water ,Systèmes solaires domestiques ,Disposal, Ride shares ,Washers,Soins de santé publics,Pre-primary,Altenpflege,Handicapped,Social pensions,Unconditional cash transfer,Alimentation,Programme de travaux publics,Congé familial,Congé de paternité,Horaire flexible,Tagesbetreuung,Almacenamiento de leche ,Femininity,,Valeur du travail de soins,Household work
Access of clean water ,Haushaltsstrom,Services d’assainissement, Ridesharing ,Washer,Politique de santé,Garde d’enfants,Anciano ,Handicapped,Universal pension,Unconditional cash transfers,Bon alimentaire,Programme de travaux publics,Bezahlter Krankheitsurlaub,Erziehungsurlaub,Horaires flexibles,Cuidado de niños,,Masculinity,,Pflegemessung,Housework
Eau canalisée,Zugang zu Elektrizität ,Installations sanitaires,Transport,Dishwasher,Politiques de santé,Aide à l’enfance,Personas mayores ,Handicap ,Universal pensions,UCT,Bons alimentaires,Programme de travaux publics,Krankenstand,Universeller Urlaub,Horaire flexible,Cuidado de niños ,,Masculine,,Pflegerahmen ,Household chores
canalisée,Zugang zu Elektrizität ,Latrines,Transport,Dishwashers,Service de santé,Garderie,Cuidado de ancianos,Blind,Universal social pension,UCTs,Schulessen,Projet de travaux publics,Bezahlter Urlaub,Gleicher Urlaub,Horaires flexibles,Guardería,,Media campaign,,Zeitliche Nutzung,Caregiver 
Pipeline,Zugang zu Elektrizität ,Toilettes,Bus,Gas cylinder,Services de santé,Crèche,Cuidado de ancianos,Blind,Universal social pensions,Prestation en espèces,Schulmahlzeiten,Projets de travaux publics,Bezahlte Freizeit,Mutterschaftsurlaub,Emplacement flexible,Guardería,,Media campaign,,Zeitaufwand,Caregivers 
puits d’eau,Elektrische Dienstleistungen ,Ordures,le bus,Vacuum cleaner,Universelle Gesundheitsversorgung,Crèche ,,Visually impaired ,Pension benefits,Prestations en espèces,Frühstück,PWP,Pflegezeit,Vaterschaftsurlaub,Emplacements flexibles,Childcare,,Media campaigns,,Wert der unbezahlten Pflege,Caregiving 
puits d’eau,Solare Heimsysteme ,Ordures,Les autobus,Appliance,Universelle Gesundheit,Pépinière ,,Visually impaired ,Pension benefit,Programme de transferts monétaires,Mittagessen,PWPs  ,Familienurlaub,Vaterschaftsurlaub,Temps partiel,Child care,,Advertising campaign,,Wert der Pflegearbeit,Caretaker 
Eau communale,Electricidad doméstica,déchets,Train,Time saving ,Universelle Pflege ,Pépinières ,,Deaf ,Pension,Programmes de transferts monétaires,Fütterung,Öffentliche Arbeiten,Licencia por enfermedad pagada,Permiso por paternidad,Temps partiel,Daycare,,Stéréotype de genre,,Medición de la atención,Caretaking 
Eau communautaire,Acceso a la electricidad ,Ordures,Les trains,Energy saving,Öffentliches Gesundheitswesen,Préscolaire,,Deaf ,retraite,Programme de transferts monétaires,Essensgutschein,Öffentliche Bauprogramme ,Baja,Licencia universal,À temps partiel,Day care,,Stéréotypes,,Marco de atención ,Care taker 
Eau domestique,Acceso a la electricidad ,Gaspiller,Tramway,Broyeur,Gesundheitspolitik,Préscolaire,,Cerebral palsy ,Pensions,Programmes de transferts monétaires,Essensgutscheine,Programm für öffentliche Arbeiten,Vacaciones pagadas,Licencia igualitaria,Flexibles Arbeiten,Garde d’enfants,,Norme de genre,,Uso del tiempo,Care takers 
Accès à l’eau ,Acceso a la electricidad ,Eaux usées ,Covoiturage ,Broyeurs,Gesundheitspolitik,école maternelle,,Cerebral palsy ,retraite,Transfert d’argent,Comida escolar,Programm für öffentliche Arbeiten,Tiempo libre pagado,Licencia de maternidad,Flexible Arbeitszeit,Aide à l’enfance,,Normes de genre,,Uso del tiempo,Family care 
Accès à l’eau ,Servicios eléctricos ,Les eaux usées,Covoiturage,Cookstove,Gesundheitsdienst,maternelle,,Down syndrome ,Pension publique,Transferts monétaires,Comidas escolares,Programm für öffentliche Arbeiten,Permiso de cuidado,Permiso de paternidad,Flexible Arbeitszeiten,Garderie,,Norme sociale,,Valor de la atención no remunerada,Valeur du travail de soins
Accès à l’eau de base ,Sistemas solares para el hogar ,Disposition,Covoiturage,Cuisinières,Dienstleistungen im Gesundheitswesen,Pré-primaire,,Epilepsy ,Pensions publiques,CT,Desayuno,Öffentliches Bauprojekt,Permiso familiar,Paternidad,Flexibler Zeitplan,Crèche,,Normes sociales,,Valor del trabajo de cuidado,Soins non rémunérés
Accès à l’eau potable ,,Sanitäre Dienstleistungen,Covoiturage,Cuisine,Asistencia sanitaria universal,Kinderbetreuung,,Developmental disorder ,Régime de pension ,Crédit d’impôt,Almuerzo,Öffentliche Bauprojekte,,,Flexible Zeitpläne,Kinderbetreuung,,Stéréotype,,,Travail non rémunéré 
Accès à l’eau potable ,,Sanitäre Einrichtungen,Covoiturage,Cuire,Salud universal,Kinderbetreuung,,Special needs,Régimes de retraite,Crédits d’impôt ,Alimentación,PWP,,,Flexibler Standort,Kinderbetreuung,,Child marriage,,,Redistribution du travail de soins
Leitungswasser,,Latrinen,Transport,Fourneau,Atención universal ,Kindertagesstätte,,Special needs,Régime public de retraite,Transfert d’argent inconditionnel,Bono de comida,PWPs  ,,,Flexible Standorte,Kindertagesstätte,,Stéréotypes,,,Travail domestique
Geleitet,,Toiletten,Transport,Poêles,Sanidad pública,Kindertagesbetreuung,,Additional care needs,Régimes publics de retraite,Transferts monétaires inconditionnels,Vales de comida,Obras públicas,,,Teilzeit,Kindertagesbetreuung,,Représentation des médias,,,Corvée
Rohrleitung,,Müll,Bus,Lavage,Política sanitaria,Krippe ,,Additional needs,Pension sociale,UCT,,Programas de obras públicas ,,,Teilzeit,Cuidado de niños,,Représentations dans les médias ,,,Tâches
Brunnen,,Müll,Busse,Matériel de lavage,Políticas sanitarias,Kinderzimmer ,,Mental health condition ,Pensions sociales,UCTs,,Programa de obras públicas,,,Teilzeit,Cuidado de niños,,Féminité,,,Fournisseur de soins
Brunnen,,Müll,Zug,Machine à laver,Servicio de salud,Kinderzimmer ,,Mental health conditions ,Pension universelle,Geldleistung,,Programa de obras públicas,,,Trabajo flexible,Guardería,,Masculinité,,,Fournisseurs de soins
Kommunales Wasser,,Müll,Züge,la machine à laver,Servicios de salud,Vorschule,,Mental illness ,Pensions universelles,Geldleistungen,,Programa de obras públicas,,,Horario flexible,Guardería infantil,,Masculin,,,Tâches ménagères
Gemeinschaftswasser ,,Abfall,Straßenbahn,Machines à laver,,Vorschule,,Mental wellbeing,Pension sociale universelle,Bargeldtransferprogramm,,Proyecto de obra pública,,,Horario flexible,,,Campagne médiatique,,,Tâches ménagères
Haushaltswasser ,,Abwasser ,Mitfahrgelegenheit ,Lave-vaisselle,,Vorschule,,Mental condition  ,Pensions sociales universelles,Bargeldtransferprogramme,,Proyectos de obras públicas,,,Horario flexible,,,campagne de communication,,,Travaux ménagers
Zugang zu Wasser ,,Servicios de saneamiento,Mitfahrgelegenheiten,Lave-vaisselle,,Vorschule,,Mental health condition,Prestations de retraite,Bargeldtransferprogramm,,PWP,,,Horarios flexibles,,,Campagnes médiatiques,,,Ménage
Zugang zu Wasser ,,Instalaciones de saneamiento,Mitfahrgelegenheit,Bouteille de gaz,,Vor-Primär,,Mental health conditions,Prestation de retraite,Bargeldtransferprogramme,,PWPs  ,,,Ubicación flexible,,,Campagne publicitaire,,,Tâches ménagères
Zugang zu Basiswasser ,,Letrinas,Mitfahrgelegenheiten,Aspirateur,,Cuidado de niños,,Mental health issue,Pension,Barüberweisung,,,,,Ubicaciones flexibles,,,Geschlechterstereotype,,,Aidant naturel 
Zugang zu sauberem Wasser ,,Aseos,Mitfahrgelegenheiten,Appareil,,Cuidado de niños,,Mental health issues,die Pension,Geldtransfers,,,,,Tiempo parcial,,,Geschlechterstereotype,,,Aidants naturels 
Zugang zu sauberem Wasser ,,Basura,Transporte,Gain de temps ,,Guardería,,PTSD,Renten,CT,,,,,A tiempo parcial,,,Geschlechternorm,,,Prestation de soins 
Agua entubada,,Basura,Transporte,Économie d’énergie,,Guardería infantil,,Trauma   ,die Pension,Steuergutschrift,,,,,Tiempo parcial,,,Geschlechternormen,,,Gardien 
Hilo,,desperdicio,Autobús,Mahlmühle,,Nacimiento ,,Psychological needs,Öffentliche Rente,Steuergutschriften ,,,,,,,,Soziale Norm,,,Gardiennage 
Tubería,,Basura,ómnibus,Mahlmühlen,,Guardería ,,Psychological support,Öffentliche Renten,Bedingungsloser Geldtransfer,,,,,,,,Soziale Normen,,,Gardien 
Pozo de agua,,Desperdiciar,Autobuses,Cookstove,,Viveros ,,Psychiatric,Rentenversicherung,Bedingungslose Geldtransfers,,,,,,,,Stereotyp,,,Les soignants 
pozos de agua,,Agua residual ,Tren,Kochherde,,Preescolar,,Spectrum  ,Rentensysteme,UCT,,,,,,,,Child marriage,,,Soins familiaux 
Agua comunitaria,,Aguas residuales,Trenes,Kochen,,Preescolar,,Autism,Öffentliches Rentensystem,UCTs,,,,,,,,Stereotype,,,Wert der Pflegearbeit
Agua comunitaria ,,Disposición,Tranvía,Kochen,,Preescolar,,Autistic,Öffentliche Rentensysteme,Beneficio en efectivo,,,,,,,,Medienpräsenz,,,Unbezahlte Pflege
Agua doméstica ,,Beseitigung,Viaje compartido ,Herd,,Preescolar,,bipolar disorder,Sozialrente,Beneficios en efectivo,,,,,,,,Mediendarstellungen ,,,Unbezahlte Arbeit 
Acceso al agua ,,,Viajes compartidos,Herde,,Pre-primaria,,Schizophrenia,Sozialrenten,Programa de transferencia de efectivo,,,,,,,,Weiblichkeit,,,Umverteilung der Pflegearbeit
Acceso al agua ,,,Viaje compartido,Waschanlagen,,Childcare,,Soins de longue durée,Universelle Rente,Programas de transferencia de efectivo,,,,,,,,Männlichkeit,,,Hausarbeit
Acceso al agua básica ,,,Viajes compartidos,Waschmaschinen,,Child care ,,Soins de longue durée,Allgemeine Renten,Programa de transferencia de efectivo,,,,,,,,Männlich,,,Hausarbeit
Acceso a agua potable ,,,Viaje compartido,Waschmaschine,,Daycare,,Dans les soins à domicile,Allgemeine Sozialrente,Programas de transferencia de efectivo,,,,,,,,Medienkampagne,,,Hausarbeiten
Acceso de agua potable ,,,,die Geschirrspülmaschine,,,,Soins à domicile,Allgemeine Sozialrenten,Transferencia de efectivo,,,,,,,,Medienkampagne,,,Leistungserbringer
,,,,Unterlegscheibe,,,,vivre dans les soins,Vorsorgeleistungen,Transferencias de efectivo,,,,,,,,Medienkampagnen,,,Leistungserbringer
,,,,Geschirrspülmaschine,,,,soins résidentiels,Rentenleistung,CT,,,,,,,,Werbekampagne,,,Aufgabe im Haushalt
,,,,Spülmaschinen,,,,infirmité,Pensión,Crédito fiscal,,,,,,,,Estereotipo de género,,,Aufgaben im Haushalt
,,,,Gasflasche,,,,invalidité,jubilación,Créditos fiscales ,,,,,,,,Estereotipos de género,,,Hausarbeit
,,,,Staubsauger,,,,Handicaps,Pensiones,Transferencia de efectivo incondicional,,,,,,,,Norma de género,,,Hausarbeit
,,,,Gerät,,,,Handicapé,jubilación,Transferencias de efectivo incondicionales,,,,,,,,Normas de género,,,Hausarbeit
,,,,Zeitersparnis ,,,,Handicapé,Pensión pública,UCT,,,,,,,,Norma social,,,Bezugsperson 
,,,,Energieeinsparung,,,,handicapée,Pensiones públicas,UCTs,,,,,,,,Normas sociales,,,Pflegekräfte 
,,,,Molino de molienda,,,,les handicapés,Régimen de pensiones,,,,,,,,,Estereotipo,,,Pflege 
,,,,Molinos de molienda,,,,Handicap,Planes de pensiones,,,,,,,,,Child marriage,,,Hausmeister 
,,,,Estufa,,,,Aveugle,Régimen público de pensiones,,,,,,,,,Estereotipos,,,Pflege 
,,,,Estufas,,,,perdre la vue,Planes públicos de pensiones,,,,,,,,,Representación mediática,,,Hausmeister 
,,,,Cocción,,,,Malvoyant,Pensión social,,,,,,,,,Representaciones en los medios de comunicación ,,,Betreuer 
,,,,Cocinar,,,,malvoyante,Pensiones sociales,,,,,,,,,Feminidad,,,Pflege der Familie 
,,,,Estufa,,,,Sourd,Pensión universal,,,,,,,,,Masculinidad,,,Valor del trabajo de cuidado
,,,,Estufas,,,,sourde,Pensiones universales,,,,,,,,,Varonil,,,Cuidado no remunerado
,,,,Equipo de lavado,,,,Infirmité motrice cérébrale,Pensión social universal,,,,,,,,,Campaña mediática,,,Trabajo no remunerado 
,,,,Lavadoras,,,,paralysie cérébrale,Pensiones sociales universales,,,,,,,,,Campaña de medios,,,Redistribución del trabajo de cuidados
,,,,lavadora,,,,Syndrome de Down,Prestaciones de pensión,,,,,,,,,Campañas en los medios de comunicación,,,Trabajo doméstico
,,,,lavadora,,,,Épilepsie ,Prestación de pensión,,,,,,,,,Campaña publicitaria,,,Tarea
,,,,Lavadora,,,,Trouble du développement ,,,,,,,,,,,,,Coros
,,,,Lavavajillas,,,,Besoins spéciaux,,,,,,,,,,,,,Proveedor de atención
,,,,Lavavajillas,,,,besoins éducatifs spécifiques,,,,,,,,,,,,,Proveedores de atención
,,,,Cilindro de gas,,,,Besoins de soins supplémentaires,,,,,,,,,,,,,Tareas domésticas
,,,,Aspiradora,,,,Besoins supplémentaires,,,,,,,,,,,,,Tareas domésticas
,,,,Aparato,,,,Problème de santé mentale ,,,,,,,,,,,,,Trabajo doméstico
,,,,Ahorro de tiempo ,,,,Problèmes de santé mentale ,,,,,,,,,,,,,Tareas domésticas
,,,,Ahorro de energía,,,,Maladie mentale ,,,,,,,,,,,,,Tareas domésticas
,,,,,,,,Bien-être mental,,,,,,,,,,,,,Cuidador 
,,,,,,,,État mental ,,,,,,,,,,,,,Cuidadores 
,,,,,,,,Problème de santé mentale,,,,,,,,,,,,,Cuidado 
,,,,,,,,Problèmes de santé mentale,,,,,,,,,,,,,Conserje 
,,,,,,,,Problème de santé mentale,,,,,,,,,,,,,Cuidado 
