Candid grant_strategy_tran,Tidied 5-digit purpose name,Tidied 3-digit sector name
Advocacy,Education facilities and training,Education
Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Equal access; Conferences and exhibits,Advanced technical and managerial training,Post-Secondary Education
"Advocacy; Capacity-building and technical assistance; Equal access; Policy, advocacy and systems reform",Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Grassroots organizing,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Information and Referral,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Information and Referral; Online engagement,Advanced technical and managerial training,Post-Secondary Education
"Advocacy; Capacity-building and technical assistance; Network-building and collaboration; Policy, advocacy and systems reform; Public engagement and education; Program evaluations",Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Network-building and collaboration; Public engagement and education; Leadership and professional development,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Outreach; Equal access; Conferences and exhibits,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Outreach; Grassroots organizing,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Public engagement and education; Coalition building,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Public engagement and education; Conference attendance,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Capacity-building and technical assistance; Systems reform; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
Advocacy; Coalition building,Education facilities and training,Education
Advocacy; Coalition building; Leadership and professional development; Public engagement and education,Education facilities and training,Education
Advocacy; Coalition building; Public engagement and education; Leadership and professional development,Education facilities and training,Education
Advocacy; Coalition building; Public engagement and education; Systems reform; Network-building and collaboration; Grassroots organizing,Education facilities and training,Education
Advocacy; Conference attendance,Education facilities and training,Education
Advocacy; Conference attendance; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Conference attendance; Continuing support; Program support,Education facilities and training,Education
Advocacy; Conference attendance; Equal access; Capacity-building and technical assistance; Systems reform; Public engagement and education,Education facilities and training,Education
Advocacy; Conference attendance; Program creation,Education facilities and training,Education
Advocacy; Conference attendance; Program support,Multisector education/training,Other Multisector
Advocacy; Conference attendance; Research,Multisector education/training,Other Multisector
Advocacy; Conference presenting; Equal access; Systems reform,Multisector education/training,Other Multisector
Advocacy; Conferences and exhibits,Education facilities and training,Education
Advocacy; Continuing support,Multisector education/training,Other Multisector
Advocacy; Continuing support; Equipment,Multisector education/training,Other Multisector
Advocacy; Continuing support; Outreach,Multisector education/training,Other Multisector
Advocacy; Convening,Education facilities and training,Education
Advocacy; Equal access,Education facilities and training,Education
"Advocacy; Equal access; Coalition building; Grassroots organizing; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
Advocacy; Equal access; Coalition building; Network-building and collaboration; Capacity-building and technical assistance; Grassroots organizing,Education facilities and training,Education
"Advocacy; Equal access; Coalition building; Policy, advocacy and systems reform; Network-building and collaboration; Participatory grantmaking",Education facilities and training,Education
Advocacy; Equal access; Conference attendance,Education facilities and training,Education
Advocacy; Equal access; Conference attendance; Program support,Education facilities and training,Education
Advocacy; Equal access; Conferences and exhibits; Program support,Education facilities and training,Education
"Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
Advocacy; Equal access; Grassroots organizing; Systems reform; Capacity-building and technical assistance; Outreach,Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Network-building and collaboration",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Litigation; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Continuing support",Education facilities and training,Education
"Advocacy; Equal access; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Policy, advocacy and systems reform; Building and renovations; Continuing support; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Policy, advocacy and systems reform; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Policy, advocacy and systems reform; Network-building and collaboration; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Advocacy; Equal access; Policy, advocacy and systems reform; Research; Participatory grantmaking",Education facilities and training,Education
Advocacy; Equal access; Presentations and productions,Public sector policy and administrative management,Government & Civil Society
Advocacy; Equal access; Product and service delivery,Public sector policy and administrative management,Government & Civil Society
Advocacy; Equal access; Program support,Multisector education/training,Other Multisector
Advocacy; Equal access; Program support; Public engagement and education; Network-building and collaboration,Multisector education/training,Other Multisector
Advocacy; Equal access; Public engagement and education,Education facilities and training,Education
Advocacy; Equal access; Public engagement and education; Grassroots organizing,Education facilities and training,Education
Advocacy; Equal access; Public engagement and education; Systems reform; Network-building and collaboration,Education facilities and training,Education
Advocacy; Equal access; Systems reform,Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Public sector policy and administrative management,Government & Civil Society
