Updated Provider org. reference ,Unique ID,Recipient Country
U.K. [UK],XM-DAC-41140-ET01.01.011.URT1,Ethiopia
U.K. [UK],XM-DAC-41140-ET01.01.011.URT3,Ethiopia
U.K. [UK],XM-DAC-41140-ET01-DSC,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02.01.011.NTA1,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02.01.011.URT1,Ethiopia
U.K. [UK],XM-DAC-41140-ET02.01.011.URT3,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02.08.052.CPA1,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02.08.052.CPA3,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02.08.052.CPA5,Ethiopia
"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",XM-DAC-41140-ET02-DSC,Ethiopia
World Health Organization [XM-DAC-928],XM-DAC-928-ET-2016-17-12.005.AF01.ETH02,Ethiopia
World Health Organization [XM-DAC-928],XM-DAC-928-ET-2020-21-01.003.AF01.ETH02,Ethiopia
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-0000146875,Ethiopia
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-27078545-FIAD0000356,Ethiopia
Netherlands - Ministry of Foreign Affairs [XM-DAC-7],NL-KVK-41198890-Break Free!,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-21016-2017-AFRICA-ET,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41302-104551-1138-2015-ETH130,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41302-104551-1138-2016-ETH130,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/5410/9103/2016,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/5560/9428/2017,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/5775/9762/2017,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/5927/10084/2018,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/6145/10472/2018,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/6284/10682/2018,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/6497/11027/2019,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/6725/11427/2019,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/6887/11731/2020,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/8381/13397/2020,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-OCHA-CBPF-ERF/3379/9521/14761/2021,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-MPTF00006,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-OCHA00002,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XI-IATI-UNPF-XM-OCHA-CERF,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41114-OUTPUT-00098939,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41114-OUTPUT-00116668,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41114-OUTPUT-00127695,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41127-O079,Ethiopia
Ireland - Department of Foreign Affairs [XM-DAC-21-1],XM-DAC-41140-200712,Ethiopia
SWEDEN [XM-DAC-10-1],XM-DAC-41127-O079,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-200700,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET01.01.011.NTA1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET01.01.011.URT1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET01.01.011.URT3,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET01.02.031.NPA1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET01-DSC,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET02.01.011.NTA1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET02.01.011.URT1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET02.01.011.URT3,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET02.08.052.CPA1,Ethiopia
Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],XM-DAC-41140-ET02-DSC,Ethiopia
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],XM-DAC-41140-200712,Ethiopia
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],XM-DAC-41140-ET01.01.011.URT3,Ethiopia
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],XM-DAC-41140-ET01-DSC,Ethiopia
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],XM-DAC-41140-ET02.01.023.CSI2,Ethiopia
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme [NZ-1],XM-DAC-41140-ET02-DSC,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHB88,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHB99,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC02,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC05,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC06,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC13,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC17,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC22,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC24,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC33,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC50,Ethiopia
USAID - Bureau for Hum Ass (ex OFDA) ,GB-CHC-202918-ETHC54,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.01.011.NTA1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.01.011.URT1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.01.011.URT3,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.01.023.SMP1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.05.041.CSI1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01.08.052.CPA1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET01-DSC,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.01.011.NTA1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.01.011.URT1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.01.011.URT3,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.01.023.SMP1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.05.041.CSI1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.08.052.CPA1,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.08.052.CPA2,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02.08.052.CPA3,Ethiopia
U.S.A. [USA],XM-DAC-41140-ET02-DSC,Ethiopia
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41140-PK01.01.023.CSI1,Pakistan
Germany - Ministry for Economic Cooperation and Development [DE-1],XM-DAC-41140-PK01.04.041.CAR1,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-01.006.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-01.006.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.001.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.001.EM01.PAK04,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.002.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.002.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.002.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.005.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-02.005.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-03.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-03.001.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-03.001.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-03.006.EM01.PAK02,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-04.004.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2018-19-04.004.EM01.PAK03,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.001.EM01.PAK05,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-01.002.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-03.002.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-04.002.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-10.001.EM01.PAK01,Pakistan
World Health Organization [XM-DAC-928],XM-DAC-928-PK-2020-21-13.003.EM01.PAK02,Pakistan
