Match number,Reporting organisation,Provider Organisation,Data source,Loans,Grants
2,Australia,Australian Government,CRS,1,n/a
2,Australia,Miscellaneous,CRS,1,n/a
2,Australia - Department of Foreign Affairs and Trade [AU-5],Australia - Department of Foreign Affairs and Trade [AU-5],IATI,0,n/a
3,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,CRS,0,n/a
3,Bill & Melinda Gates Foundation [DAC-1601],Bill & Melinda Gates Foundation [DAC-1601],IATI,1,n/a
4,Canada,Global Affairs Canada,CRS,1,n/a
4,Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],IATI,0,n/a
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canada. Global Affairs Canada,IATI,n/a,n/a
4.5,Canada,International Development Research Centre,CRS,0,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Australian Centre for International Agricultural Research,IATI,n/a,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Bill & Melinda Gates Foundation,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canada. Parliament,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canadian International Development Agency,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Great Britain. Dept for International Development,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Netherlands. Ministerie van Buitenlandse Zaken,IATI,n/a,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Norwegian Agency for Development Cooperation,IATI,1,n/a
4.5,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],William and Flora Hewlett Foundation,IATI,1,n/a
6,"UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]","UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]",IATI,0,n/a
6,"UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]","UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]",IATI,0,n/a
6,"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]","UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",IATI,0,n/a
6,United Kingdom,"Department for Business, Energy and Industrial Strategy",CRS,1,n/a
6,United Kingdom,"Department for Business, Innovation and Skills",CRS,1,n/a
6,United Kingdom,Department for Environment Food and Rural Affairs,CRS,1,n/a
6,United Kingdom,Department for International Development,CRS,1,n/a
6,United Kingdom,Foreign & Commonwealth Office,CRS,1,n/a
7,Central Emergency Response Fund,Rapid Response,CRS,0,n/a
7,United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],IATI,1,n/a
8,Denmark,Investment Fund For Developing Countries,CRS,n/a,0
8,Denmark,Ministry of Foreign Affairs,CRS,1,n/a
