Match number,Reporting organisation,Provider Organisation,Data source,Loans ,Grants 
2,Australia,Australian Government,CRS,n/a,1
2,Australia,Miscellaneous,CRS,n/a,1
2,Australia - Department of Foreign Affairs and Trade [AU-5],Australia - Department of Foreign Affairs and Trade [AU-5],IATI,n/a,0
3,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,CRS,0,1
3,Bill & Melinda Gates Foundation [DAC-1601],Bill & Melinda Gates Foundation [DAC-1601],IATI,n/a,0
4,Canada,Global Affairs Canada,CRS,n/a,0
4,Canada,International Development Research Centre,CRS,n/a,0
4,Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],Canada - Global Affairs Canada | Affaires mondiales Canada [CA-3],IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Australian Centre for International Agricultural Research,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Bill & Melinda Gates Foundation,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canada. Parliament,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Canadian International Development Agency,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Great Britain. Dept for International Development,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],Norwegian Agency for Development Cooperation,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],The MasterCard Foundation,IATI,n/a,1
4,Canada - International Development Research Centre/Centre de recherches pour le développement international [XM-DAC-301-2],William and Flora Hewlett Foundation,IATI,n/a,1
5,CDC Group plc [GB-COH-03877777],CDC Group plc [GB-COH-03877777],IATI,0,n/a
5,United Kingdom,CDC Capital Partners PLC,CRS,1,n/a
6,"UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]","UK - Department for Business, Energy and Industrial Strategy (BEIS) [GB-GOV-13]",IATI,n/a,0
6,"UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]","UK - Department for Environment, Food and Rural Affairs [GB-GOV-7]",IATI,n/a,0
6,"UK - Foreign, Commonwealth and Development Office [GB-GOV-1]","UK - Foreign, Commonwealth and Development Office [GB-GOV-1]",IATI,n/a,0
6,United Kingdom,"Department for Business, Energy and Industrial Strategy",CRS,n/a,1
6,United Kingdom,"Department for Business, Innovation and Skills",CRS,n/a,1
6,United Kingdom,Department for Environment Food and Rural Affairs,CRS,n/a,1
6,United Kingdom,Department for International Development,CRS,n/a,1
6,United Kingdom,Foreign & Commonwealth Office,CRS,n/a,1
7,Central Emergency Response Fund,Rapid Response,CRS,n/a,1
7,Central Emergency Response Fund,Under Funded,CRS,n/a,1
7,United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],United Nations Central Emergency Response Fund (CERF) [XM-OCHA-CERF],IATI,n/a,0
8,Denmark,Ministry of Foreign Affairs,CRS,n/a,1
8,"Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]","Denmark - Ministry of Foreign Affairs, Danida [XM-DAC-3-1]",IATI,n/a,0
9,EU Institutions,European Commission,CRS,n/a,1
9,EU Institutions,,CRS,n/a,1
9,European Commission - Humanitarian Aid & Civil Protection [XI-IATI-EC_ECHO],European Commission - Humanitarian Aid & Civil Protection [XI-IATI-EC_ECHO],IATI,n/a,0
9,European Commission - International Partnerships [XI-IATI-EC_INTPA],European Commission - International Partnerships [XI-IATI-EC_INTPA],IATI,n/a,0
9,European Commission - Service for Foreign Policy Instruments [XI-IATI-EC_FPI],European Commission - Service for Foreign Policy Instruments [XI-IATI-EC_FPI],IATI,n/a,0
10,UNFPA,UNFPA,CRS,n/a,0
10,United Nations Population Fund [41119],United Nations Population Fund [41119],IATI,n/a,n/a
11,Finland,Finnish Government,CRS,n/a,0
11,Finland,Ministry of Foreign Affairs,CRS,n/a,0
11,Finland - Ministry for Foreign Affairs [FI-3],Finland - Ministry for Foreign Affairs [FI-3],IATI,n/a,1
12,Food and Agriculture Organisation,FAO,CRS,n/a,1
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Austria [XM-DAC-1],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Belgium [XM-DAC-2],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],China (People's Republic of) [XM-DAC-730],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Common Fund for Commodities [XM-DAC-47105],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],EU Institutions [XM-DAC-42000],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Global Environment Facility Trust Fund [XM-DAC-47044],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],International Bank for Reconstruction and Develoment [XM-DAC-44000],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Italy [XM-DAC-6],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Japan [XM-DAC-701],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Multilateral,IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],No data,IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Sweden [XM-DAC-10],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],Telefood,IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Kingdom [XM-DAC-12],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Development Programme (UNDP) [XM-DAC-41114],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations High Commissioner for Refugees (UNHCR) [XM-DAC-41121],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Office for the Coordination of Humanitarian Affairs (OCHA) [XM-DAC-41127],IATI,n/a,0
12,Food and Agriculture Organization of the United Nations (FAO) [XM-DAC-41301],United Nations Population Fund [XM-DAC-41119],IATI,n/a,0
13,France,Ministry of Foreign Affairs,CRS,n/a,0
13,France - Ministry for Europe and Foreign Affairs [FR-6],France - Ministry for Europe and Foreign Affairs [FR-6],IATI,n/a,n/a
